Data_Source,Rows,Start,End,Duration,Exposure_Time_%,Equity_Final,Equity_Peak,Return_%,Buy_Hold_%,Return_Ann_%,Volatility_Ann_%,Sharpe,Sortino,Calmar,Max_DD_%,Avg_DD_%,Max_DD_Duration,Avg_DD_Duration,Trades,Win_Rate_%,Best_Trade_%,Worst_Trade_%,Avg_Trade_%,Max_Trade_Duration,Avg_Trade_Duration,Profit_Factor,Expectancy,SQN
BTC-1d-1000wks,3549,2015-07-20 00:00:00,2025-04-06 00:00:00,3548 days 00:00:00,0.0,100000.0,100000.0,0.0,21169.63,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
BTC-1h-500wks,83954,2015-09-20 14:00:00,2025-04-20 13:00:00,3499 days 23:00:00,0.38,99860.63,100037.86,-0.14,35066.96,-0.01,0.04,-0.412,-0.57,-0.082,-0.18,-0.12,3420 days 14:00:00,1742 days 22:00:00,55,20.0,3.99,-4.3,-0.202,0 days 14:00:00,0 days 05:00:00,0.519,0,-1.48
BTC-6h-500wks,13999,2015-09-20 18:00:00,2025-04-20 12:00:00,3499 days 18:00:00,0.16,99983.45,100004.74,-0.02,22395.27,-0.0,0.0,-0.39,-0.398,-0.081,-0.02,-0.01,3321 days 00:00:00,1661 days 06:00:00,3,0.0,-0.28,-2.6,-1.148,3 days 06:00:00,1 days 14:00:00,0.0,0,-1.659
ETH-1d-5yrs,1848,2020-08-19 08:09:24.203000,2025-09-09 08:09:24.203000,1847 days 00:00:00,0.0,100000.0,100000.0,0.0,159.95,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CoinGecko-90d,23,2025-06-12 19:00:00,2025-09-08 19:00:00,88 days 00:00:00,0.0,100000.0,100000.0,0.0,-4.23,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CC-100d,101,2025-06-02 19:00:00,2025-09-10 19:00:00,100 days 00:00:00,0.0,100000.0,100000.0,0.0,16.48,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
