Data_Source,Rows,Start,End,Duration,Exposure_Time_%,Equity_Final,Equity_Peak,Return_%,Buy_Hold_%,Return_Ann_%,Volatility_Ann_%,Sharpe,Sortino,Calmar,Max_DD_%,Avg_DD_%,Max_DD_Duration,Avg_DD_Duration,Trades,Win_Rate_%,Best_Trade_%,Worst_Trade_%,Avg_Trade_%,Max_Trade_Duration,Avg_Trade_Duration,Profit_Factor,Expectancy,SQN
BTC-1d-1000wks,3549,2015-07-20 00:00:00,2025-04-06 00:00:00,3548 days 00:00:00,0.37,1125806.6,1125806.6,12.58,34098.35,1.23,2.6,0.472,1.084,0.258,-4.75,-4.75,9 days 00:00:00,9 days 00:00:00,1,100.0,12.6,12.6,12.599,12 days 00:00:00,12 days 00:00:00,,0,
BTC-1h-500wks,83954,2015-09-20 14:00:00,2025-04-20 13:00:00,3499 days 23:00:00,5.54,0.0,1468484.67,-100.0,36395.25,0.0,180.35,0.0,0.0,0.0,-100.0,-3.37,3020 days 06:00:00,52 days 14:00:00,6,50.0,10.61,-102.49,0.0,132 days 20:00:00,69 days 17:00:00,0.108,0,-0.777
BTC-6h-500wks,13999,2015-09-20 18:00:00,2025-04-20 12:00:00,3499 days 18:00:00,1.28,1165781.38,1165781.38,16.58,35307.14,1.61,4.72,0.341,0.723,0.198,-8.14,-3.0,1190 days 00:00:00,136 days 09:00:00,3,66.67,12.58,-5.55,5.408,36 days 18:00:00,14 days 16:00:00,4.092,0,0.999
ETH-1d-5yrs,1848,2020-08-19 08:09:24.203000,2025-09-09 08:09:24.203000,1847 days 00:00:00,3.03,0.0,1068261.5,-100.0,1157.64,0.0,297.46,0.0,0.0,0.0,-100.0,-56.89,1630 days 00:00:00,823 days 00:00:00,3,0.0,-5.2,-104.47,0.0,53 days 00:00:00,32 days 00:00:00,0.0,0,-1.365
ETH-CMC-30pts,1,2025-09-11 02:33:00+00:00,2025-09-11 02:33:00+00:00,0 days 00:00:00,0.0,1000000.0,1000000.0,0.0,0.0,0.0,,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CC-100d,101,2025-06-02 19:00:00,2025-09-10 19:00:00,100 days 00:00:00,0.0,1000000.0,1000000.0,0.0,16.48,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
