Data_Source,Rows,Start,End,Duration,Exposure_Time_%,Equity_Final,Equity_Peak,Return_%,Buy_Hold_%,Return_Ann_%,Volatility_Ann_%,Sharpe,Sortino,Calmar,Max_DD_%,Avg_DD_%,Max_DD_Duration,Avg_DD_Duration,Trades,Win_Rate_%,Best_Trade_%,Worst_Trade_%,Avg_Trade_%,Max_Trade_Duration,Avg_Trade_Duration,Profit_Factor,Expectancy,SQN
BTC-1d-1000wks,3549,2015-07-20 00:00:00,2025-04-06 00:00:00,3548 days 00:00:00,16.29,475655.68,1312277.19,375.66,34098.35,17.4,31.93,0.545,1.012,0.265,-65.58,-5.98,1505 days 00:00:00,79 days 00:00:00,81,40.74,44.83,-17.18,2.016,23 days 00:00:00,7 days 00:00:00,1.996,0,0.682
BTC-1h-500wks,83954,2015-09-20 14:00:00,2025-04-20 13:00:00,3499 days 23:00:00,9.75,17291.54,105441.35,-82.71,36395.25,-16.72,15.8,-1.058,-1.265,-0.2,-83.6,-19.72,3456 days 16:00:00,699 days 12:00:00,1305,27.51,14.72,-18.98,-0.154,1 days 02:00:00,0 days 06:00:00,0.763,0,-3.045
BTC-6h-500wks,13999,2015-09-20 18:00:00,2025-04-20 12:00:00,3499 days 18:00:00,17.14,202734.94,351795.62,102.73,35307.14,7.65,26.51,0.288,0.461,0.156,-49.1,-6.12,1500 days 18:00:00,79 days 00:00:00,353,39.09,17.24,-16.98,0.207,5 days 12:00:00,1 days 11:00:00,1.254,0,0.75
ETH-1d-5yrs,1848,2020-08-19 08:09:24.203000,2025-09-09 08:09:24.203000,1847 days 00:00:00,15.64,105044.22,294638.66,5.04,1157.64,0.98,28.82,0.034,0.059,0.014,-67.58,-8.27,1465 days 00:00:00,105 days 00:00:00,52,26.92,42.65,-10.96,0.061,14 days 00:00:00,5 days 00:00:00,1.169,0,0.047
ETH-CoinGecko-90d,23,2025-06-12 19:00:00,2025-09-08 19:00:00,88 days 00:00:00,0.0,100000.0,100000.0,0.0,10.19,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CC-100d,101,2025-06-02 19:00:00,2025-09-10 19:00:00,100 days 00:00:00,14.85,103097.24,120047.43,3.1,16.48,11.65,31.27,0.373,0.658,0.825,-14.12,-7.47,29 days 00:00:00,16 days 00:00:00,2,50.0,14.17,-9.6,1.593,10 days 00:00:00,7 days 00:00:00,1.476,0,0.132
