Data_Source,Rows,Start,End,Duration,Exposure_Time_%,Equity_Final,Equity_Peak,Return_%,Buy_Hold_%,Return_Ann_%,Volatility_Ann_%,Sharpe,Sortino,Calmar,Max_DD_%,Avg_DD_%,Max_DD_Duration,Avg_DD_Duration,Trades,Win_Rate_%,Best_Trade_%,Worst_Trade_%,Avg_Trade_%,Max_Trade_Duration,Avg_Trade_Duration,Profit_Factor,Expectancy,SQN
BTC-1d-1000wks,3549,2015-07-20 00:00:00,2025-04-06 00:00:00,3548 days 00:00:00,17.05,0.0,3708751.73,-100.0,35601.51,0.0,95.23,0.0,0.0,0.0,-100.0,-9.84,2304 days 00:00:00,98 days 00:00:00,21,66.67,24.62,-19.75,2.89,465 days 00:00:00,63 days 00:00:00,2.632,0,2.045
BTC-1h-500wks,83954,2015-09-20 14:00:00,2025-04-20 13:00:00,3499 days 23:00:00,7.24,0.0,1433576.2,-100.0,37008.56,0.0,385.47,0.0,0.0,0.0,-100.0,-2.69,3453 days 16:00:00,67 days 01:00:00,11,54.55,7.11,-101.5,0.0,219 days 09:00:00,60 days 08:00:00,0.125,0,-0.776
BTC-6h-500wks,13999,2015-09-20 18:00:00,2025-04-20 12:00:00,3499 days 18:00:00,5.89,0.0,1449325.25,-100.0,34930.92,0.0,401.61,0.0,0.0,0.0,-100.0,-9.92,3410 days 06:00:00,286 days 13:00:00,12,50.0,7.77,-103.22,0.0,173 days 00:00:00,39 days 10:00:00,0.135,0,-0.811
ETH-1d-5yrs,1848,2020-08-19 08:09:24.203000,2025-09-09 08:09:24.203000,1847 days 00:00:00,8.71,691579.21,1128520.32,-30.84,1162.15,-7.02,13.95,-0.504,-0.664,-0.181,-38.72,-12.88,1035 days 00:00:00,285 days 00:00:00,66,30.3,5.83,-3.26,-0.56,17 days 00:00:00,2 days 00:00:00,0.787,0,-0.96
ETH-CoinGecko-90d,23,2025-06-12 19:00:00,2025-09-08 19:00:00,88 days 00:00:00,0.0,1000000.0,1000000.0,0.0,10.19,0.0,0.0,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CMC-30pts,1,2025-09-11 02:33:00+00:00,2025-09-11 02:33:00+00:00,0 days 00:00:00,0.0,1000000.0,1000000.0,0.0,0.0,0.0,,,,,-0.0,,nan,nan,0,,,,,nan,nan,,0,
ETH-CC-100d,101,2025-06-02 19:00:00,2025-09-10 19:00:00,100 days 00:00:00,1.98,968071.62,1000000.0,-3.19,69.77,-11.07,5.32,-2.079,-1.851,-3.466,-3.19,-3.19,19 days 00:00:00,19 days 00:00:00,1,0.0,-3.2,-3.2,-3.197,1 days 00:00:00,1 days 00:00:00,0.0,0,
