Data_Source,Rows,Start,End,Duration,Exposure_Time_%,Equity_Final,Equity_Peak,Return_%,Buy_Hold_%,Return_Ann_%,Volatility_Ann_%,Sharpe,Sortino,Calmar,Max_DD_%,Avg_DD_%,Max_DD_Duration,Avg_DD_Duration,Trades,Win_Rate_%,Best_Trade_%,Worst_Trade_%,Avg_Trade_%,Max_Trade_Duration,Avg_Trade_Duration,Profit_Factor,Expectancy,SQN
BTC-1d-1000wks,3549,2015-07-20 00:00:00,2025-04-06 00:00:00,3548 days 00:00:00,4.2,11518332.37,11518332.37,1051.83,29273.21,28.58,30.83,0.927,2.544,0.973,-29.38,-5.79,696 days 00:00:00,98 days 00:00:00,55,78.18,31.96,-22.4,4.558,11 days 00:00:00,2 days 00:00:00,4.256,0,4.62
BTC-1h-500wks,83954,2015-09-20 14:00:00,2025-04-20 13:00:00,3499 days 23:00:00,5.26,0.0,1227393.68,-100.0,36789.47,0.0,313.25,0.0,0.0,0.0,-100.0,-3.64,3448 days 21:00:00,104 days 22:00:00,29,48.28,6.61,-101.7,0.0,132 days 22:00:00,10 days 17:00:00,0.271,0,-0.907
BTC-6h-500wks,13999,2015-09-20 18:00:00,2025-04-20 12:00:00,3499 days 18:00:00,17.87,0.0,7186495.64,-100.0,36346.86,0.0,84.74,0.0,0.0,0.0,-100.0,-8.46,1199 days 18:00:00,65 days 16:00:00,168,55.36,20.93,-101.42,0.0,288 days 00:00:00,3 days 12:00:00,1.205,0,-0.182
ETH-1d-5yrs,1848,2020-08-19 08:09:24.203000,2025-09-09 08:09:24.203000,1847 days 00:00:00,3.19,938674.62,1158356.07,-6.13,876.4,-1.24,11.15,-0.111,-0.163,-0.054,-22.86,-10.89,1186 days 00:00:00,437 days 00:00:00,41,39.02,4.81,-3.21,-0.154,6 days 00:00:00,1 days 00:00:00,0.96,0,-0.246
