datetime,open,high,low,close,volume
2025-06-12 19:00:00,2816.42,2870.51,2638.58,2653.16,0.0
2025-06-16 19:00:00,2650.1,2672.77,2468.26,2561.33,0.0
2025-06-20 19:00:00,2548.1,2613.23,2389.71,2405.7,0.0
2025-06-24 19:00:00,2406.19,2473.84,2134.88,2446.54,0.0
2025-06-28 19:00:00,2447.33,2510.28,2391.69,2437.13,0.0
2025-07-02 19:00:00,2436.76,2606.08,2393.31,2574.07,0.0
2025-07-06 19:00:00,2572.33,2630.57,2478.63,2571.36,0.0
2025-07-10 19:00:00,2570.82,2979.89,2521.06,2948.45,0.0
2025-07-14 19:00:00,2948.78,3074.13,2908.75,3012.18,0.0
2025-07-18 19:00:00,3013.07,3669.85,2942.21,3547.32,0.0
2025-07-22 19:00:00,3548.42,3848.92,3523.94,3746.94,0.0
2025-07-26 19:00:00,3745.23,3773.65,3530.3,3742.43,0.0
2025-07-30 19:00:00,3739.71,3936.94,3708.13,3807.42,0.0
2025-08-03 19:00:00,3807.38,3874.37,3373.55,3497.57,0.0
2025-08-07 19:00:00,3497.79,3917.17,3495.1,3911.26,0.0
2025-08-11 19:00:00,3907.6,4347.28,3884.64,4228.82,0.0
2025-08-15 19:00:00,4226.51,4779.0,4226.51,4430.53,0.0
2025-08-19 19:00:00,4437.62,4563.72,4074.5,4074.5,0.0
2025-08-23 19:00:00,4080.65,4877.09,4074.75,4773.88,0.0
2025-08-27 19:00:00,4782.43,4946.05,4341.54,4500.15,0.0
2025-08-31 19:00:00,4503.25,4625.35,4279.96,4388.93,0.0
2025-09-04 19:00:00,4385.61,4486.12,4238.45,4298.09,0.0
2025-09-08 19:00:00,4302.63,4467.61,4250.48,4309.69,0.0
