datetime,open,high,low,close,volume
2025-06-02 19:00:00,2607.34,2654.78,2579.35,2593.32,3080697058.75
2025-06-03 19:00:00,2593.32,2679.43,2583.67,2607.74,3470339340.13
2025-06-04 19:00:00,2607.74,2640.74,2392.1,2414.32,5065279064.77
2025-06-05 19:00:00,2414.32,2530.83,2384.87,2476.17,3283388908.97
2025-06-06 19:00:00,2476.17,2542.58,2457.03,2524.71,1601041752.29
2025-06-07 19:00:00,2524.71,2548.44,2492.22,2509.84,2296850784.49
2025-06-08 19:00:00,2509.84,2693.9,2478.28,2680.11,3687735689.48
2025-06-09 19:00:00,2680.11,2826.63,2655.58,2816.34,6922671223.88
2025-06-10 19:00:00,2816.34,2878.95,2743.9,2771.59,5800316078.94
2025-06-11 19:00:00,2771.59,2784.59,2617.17,2642.84,4637798514.19
2025-06-12 19:00:00,2642.84,2645.14,2440.75,2579.02,6654043532.55
2025-06-13 19:00:00,2579.02,2579.29,2488.7,2530.78,1907230174.8
2025-06-14 19:00:00,2530.78,2559.24,2492.06,2547.58,1781443315.6
2025-06-15 19:00:00,2547.58,2680.2,2515.0,2544.22,4098002059.42
2025-06-16 19:00:00,2544.22,2618.46,2453.92,2509.91,4298045559.84
2025-06-17 19:00:00,2509.91,2548.31,2466.41,2524.91,3100457952.98
2025-06-18 19:00:00,2524.91,2547.0,2485.03,2521.03,1644614432.97
2025-06-19 19:00:00,2521.03,2569.0,2369.17,2406.56,3532874399.33
2025-06-20 19:00:00,2406.56,2448.27,2218.45,2295.73,3084656118.16
2025-06-21 19:00:00,2295.73,2314.25,2112.89,2227.68,5176987523.31
2025-06-22 19:00:00,2227.68,2435.6,2188.36,2411.49,4383392347.21
2025-06-23 19:00:00,2411.49,2481.99,2376.18,2448.46,3282461395.52
2025-06-24 19:00:00,2448.46,2468.43,2390.27,2418.48,2548852963.86
2025-06-25 19:00:00,2418.48,2520.4,2394.35,2416.08,2751688910.27
2025-06-26 19:00:00,2416.08,2463.15,2387.89,2422.99,2117563145.7
2025-06-27 19:00:00,2422.99,2447.79,2405.81,2435.7,857960560.01
2025-06-28 19:00:00,2435.7,2524.74,2415.07,2500.31,1851915131.47
2025-06-29 19:00:00,2500.31,2524.07,2433.48,2485.27,2759561904.59
2025-06-30 19:00:00,2485.27,2500.59,2387.33,2405.0,2227882285.57
2025-07-01 19:00:00,2405.0,2618.99,2376.84,2570.35,3783197514.64
2025-07-02 19:00:00,2570.35,2635.19,2556.15,2591.06,3112205593.75
2025-07-03 19:00:00,2591.06,2602.99,2474.54,2507.94,2797679062.94
2025-07-04 19:00:00,2507.94,2529.49,2487.96,2516.41,1288638046.11
2025-07-05 19:00:00,2516.41,2604.28,2503.41,2570.44,1887597200.73
2025-07-06 19:00:00,2570.44,2590.61,2515.64,2542.2,2357726298.54
2025-07-07 19:00:00,2542.2,2628.2,2523.78,2615.12,2497427183.29
2025-07-08 19:00:00,2615.12,2794.54,2590.25,2768.57,4451713948.48
2025-07-09 19:00:00,2768.57,3000.57,2755.48,2951.09,5713543289.52
2025-07-10 19:00:00,2951.09,3039.09,2914.23,2958.21,6042402145.76
2025-07-11 19:00:00,2958.21,2979.58,2904.42,2943.06,2417855056.58
2025-07-12 19:00:00,2943.06,3020.23,2936.35,2972.12,2589628583.25
2025-07-13 19:00:00,2972.12,3082.81,2962.96,3013.71,5854708633.22
2025-07-14 19:00:00,3013.71,3143.8,2933.02,3138.59,6531778641.83
2025-07-15 19:00:00,3138.59,3424.27,3101.12,3371.38,7875522264.79
2025-07-16 19:00:00,3371.38,3523.46,3311.47,3476.79,7771080410.49
2025-07-17 19:00:00,3476.79,3673.74,3458.98,3546.87,9582014437.57
2025-07-18 19:00:00,3546.87,3608.36,3506.99,3592.1,3392518186.01
2025-07-19 19:00:00,3592.1,3823.54,3579.18,3756.68,7091593731.96
2025-07-20 19:00:00,3756.68,3857.11,3701.21,3762.3,7403052932.27
2025-07-21 19:00:00,3762.3,3798.63,3618.26,3746.27,8440049125.45
2025-07-22 19:00:00,3746.27,3763.96,3527.44,3628.3,7444693419.12
2025-07-23 19:00:00,3628.3,3770.84,3507.05,3706.75,6843148441.33
2025-07-24 19:00:00,3706.75,3746.83,3574.17,3725.02,7128836482.86
2025-07-25 19:00:00,3725.02,3793.64,3699.61,3741.42,3859067706.21
2025-07-26 19:00:00,3741.42,3879.02,3730.8,3872.69,5062358357.21
2025-07-27 19:00:00,3872.69,3940.61,3754.13,3798.55,6466967719.07
2025-07-28 19:00:00,3798.55,3886.01,3716.66,3793.95,6675479203.8
2025-07-29 19:00:00,3793.95,3834.03,3682.23,3810.22,5921996257.58
2025-07-30 19:00:00,3810.22,3878.39,3684.68,3698.34,5399288856.55
2025-07-31 19:00:00,3698.34,3724.07,3432.11,3488.13,8330052308.14
2025-08-01 19:00:00,3488.13,3537.61,3369.19,3394.02,5453811862.66
2025-08-02 19:00:00,3394.02,3521.72,3357.24,3496.79,3575346378.81
2025-08-03 19:00:00,3496.79,3736.3,3491.24,3721.1,5693835205.5
2025-08-04 19:00:00,3721.1,3721.64,3547.09,3612.02,5131995597.8
