timestamp,open,high,low,close,volume
2025-02-15 07:46:43.505,2715.4,2729.5,2713.2,2728.0,18170.9579
2025-02-15 08:46:43.505,2728.0,2734.9,2719.5,2729.7,14281.054
2025-02-15 09:46:43.505,2730.0,2739.0,2722.3,2723.1,10646.3144
2025-02-15 10:46:43.505,2723.1,2732.5,2715.9,2718.7,9895.1988
2025-02-15 11:46:43.505,2718.7,2723.5,2714.6,2720.7,3309.3642
2025-02-15 12:46:43.505,2720.9,2721.5,2703.9,2707.8,6885.5178
2025-02-15 13:46:43.505,2707.8,2709.2,2689.9,2696.0,19309.3338
2025-02-15 14:46:43.505,2696.0,2711.7,2695.4,2702.9,20810.9047
2025-02-15 15:46:43.505,2703.0,2711.0,2694.6,2701.2,14495.6222
2025-02-15 16:46:43.505,2701.2,2711.0,2694.1,2709.3,7182.3684
2025-02-15 17:46:43.505,2709.8,2713.7,2698.4,2706.6,6316.0658
2025-02-15 18:46:43.505,2707.1,2712.4,2702.6,2709.1,5176.7624
2025-02-15 19:46:43.505,2709.0,2712.3,2704.4,2705.4,2734.6026
2025-02-15 20:46:43.505,2705.4,2705.4,2654.2,2687.2,29950.6057
2025-02-15 21:46:43.505,2687.2,2697.0,2682.0,2689.3,10060.4329
2025-02-15 22:46:43.505,2689.2,2695.1,2681.2,2687.6,8048.9175
2025-02-15 23:46:43.505,2687.6,2692.6,2677.4,2684.4,7725.2565
2025-02-16 00:46:43.505,2684.4,2707.3,2683.3,2701.7,7820.7674
2025-02-16 01:46:43.505,2701.7,2704.2,2689.8,2689.8,5104.8773
2025-02-16 02:46:43.505,2690.4,2695.7,2677.5,2684.7,11122.0272
2025-02-16 03:46:43.505,2684.6,2701.5,2684.6,2699.6,10426.9616
2025-02-16 04:46:43.505,2699.7,2703.0,2685.7,2693.2,7642.9011
2025-02-16 05:46:43.505,2693.4,2696.7,2688.2,2691.3,4803.4495
2025-02-16 06:46:43.505,2691.2,2704.6,2689.1,2698.2,13016.1262
2025-02-16 07:46:43.505,2698.2,2701.5,2690.9,2699.6,9033.4839
2025-02-16 08:46:43.505,2699.4,2699.5,2685.7,2689.3,9114.4026
2025-02-16 09:46:43.505,2689.4,2697.6,2686.5,2697.3,4930.8172
2025-02-16 10:46:43.505,2697.4,2702.9,2695.8,2702.4,5120.9814
2025-02-16 11:46:43.505,2702.6,2727.8,2695.3,2708.5,8265.2735
2025-02-16 12:46:43.505,2708.4,2718.5,2705.7,2709.2,3742.7592
2025-02-16 13:46:43.505,2709.2,2709.3,2689.5,2694.4,19941.471
2025-02-16 14:46:43.505,2694.4,2703.3,2691.5,2695.2,4419.6093
2025-02-16 15:46:43.505,2695.2,2706.8,2687.1,2703.7,6735.2998
2025-02-16 16:46:43.505,2703.7,2706.3,2692.0,2694.7,3414.3645
2025-02-16 17:46:43.505,2694.6,2711.8,2692.8,2710.0,4416.7336
2025-02-16 18:46:43.505,2710.1,2711.5,2702.4,2704.1,2831.3715
