symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_last_accumulated_quantity,order_trade_time,usd_size
IN,SELL,LIMIT,IOC,644,0.0703600,0.0714300,FILLED,310,644,1756103574340,45.311840000000004
TREE,SELL,LIMIT,IOC,59,0.2925000,0.2955000,FILLED,59,59,1756103574340,17.2575
EIGEN,SELL,LIMIT,IOC,13.3,1.3237000,1.3364000,FILLED,13.3,13.3,1756103574340,17.605210000000003
SOON,SELL,LIMIT,IOC,55,0.2377300,0.2395500,FILLED,55,55,1756103574341,13.07515
CYBER,SELL,LIMIT,IOC,8.8,2.039000,2.068000,FILLED,8.8,8.8,1756103574341,17.943200000000004
MOODENG,SELL,LIMIT,IOC,124,0.1464900,0.1479200,FILLED,52,124,1756103574341,18.16476
YALA,SELL,LIMIT,IOC,119,0.1528000,0.1551000,FILLED,119,119,1756103574341,18.1832
POPCAT,SELL,LIMIT,IOC,67,0.2735000,0.2760000,FILLED,67,67,1756103574341,18.3245
BIGTIME,SELL,LIMIT,IOC,343,0.0537900,0.0542500,FILLED,42,343,1756103574341,18.44997
ROSE,SELL,LIMIT,IOC,709,0.02614,0.02639,FILLED,709,709,1756103574341,18.53326
BCH,SELL,LIMIT,IOC,0.034,568.68,571.38,FILLED,0.034,0.034,1756103574341,19.33512
ERA,SELL,LIMIT,IOC,22,0.8163000,0.8244000,FILLED,22,22,1756103574341,17.9586
ESPORTS,SELL,LIMIT,IOC,218,0.0854000,0.0866000,FILLED,218,218,1756103574341,18.6172
A2Z,SELL,LIMIT,IOC,1737,0.0051720,0.0052170,FILLED,1737,1737,1756103574341,8.983764
ARK,SELL,LIMIT,IOC,42,0.4504000,0.4594000,FILLED,42,42,1756103574341,18.916800000000002
ZRC,SELL,LIMIT,IOC,682,0.0283700,0.0287800,FILLED,682,682,1756103574341,19.34834
SOL,BUY,LIMIT,IOC,0.10,204.0200,203.0200,FILLED,0.10,0.10,1756103574341,20.402
1000BONK,SELL,LIMIT,IOC,909,0.0215520,0.0217690,FILLED,909,909,1756103574341,19.590768
PLAY,SELL,LIMIT,IOC,214,0.0458500,0.0465500,FILLED,214,214,1756103574341,9.8119
1000FLOKI,SELL,LIMIT,IOC,197,0.1002500,0.1012300,FILLED,197,197,1756103574341,19.74925
1000PEPE,SELL,LIMIT,IOC,2388,0.0104739,0.0105368,FILLED,2388,2388,1756103574341,25.0116732
1000SHIB,SELL,LIMIT,IOC,3961,0.012595,0.012671,FILLED,3432,3961,1756103574341,49.888795
ETH,SELL,LIMIT,IOC,0.005,4646.74,4664.66,FILLED,0.005,0.005,1756103574341,23.2337
XPL,SELL,LIMIT,IOC,38,0.5373000,0.5448000,FILLED,38,38,1756103574341,20.4174
PEOPLE,SELL,LIMIT,IOC,1524,0.02012,0.02032,FILLED,1524,1524,1756103574341,30.662879999999998
MYX,SELL,LIMIT,IOC,18,1.1600000,1.1771000,FILLED,7,18,1756103574341,20.88
ZORA,SELL,LIMIT,IOC,103,0.1115800,0.1127000,FILLED,103,103,1756103574341,11.49274
XNY,SELL,LIMIT,IOC,3119,0.0068400,0.0069390,FILLED,2245,3119,1756103574341,21.333959999999998
BOME,SELL,LIMIT,IOC,11080,0.0022320,0.0022540,FILLED,11080,11080,1756103574341,24.73056
SCR,SELL,LIMIT,IOC,17,0.3693000,0.3745000,FILLED,17,17,1756103574480,6.2781
GRIFFAIN,SELL,LIMIT,IOC,349,0.0344800,0.0349700,FILLED,19,349,1756103574483,12.03352
VTHO,SELL,LIMIT,IOC,12939,0.0018940,0.0019220,FILLED,1919,12939,1756103574600,24.506466
SAGA,SELL,LIMIT,IOC,12927.9,0.2597000,0.2621629,FILLED,429.4,12927.9,1756103574618,3357.3756299999995
ONT,BUY,LIMIT,IOC,1546.8,0.2030,0.2002,FILLED,1546.8,1546.8,1756103575055,314.0004
DOGE,SELL,LIMIT,IOC,756,0.222850,0.224270,FILLED,756,756,1756103575133,168.47459999999998
ETC,SELL,LIMIT,IOC,3.51,22.354,22.457,FILLED,3.47,3.51,1756103575231,78.46253999999999
RLC,SELL,LIMIT,IOC,6.2,0.9861,1.0011,FILLED,6.2,6.2,1756103575308,6.11382
ALT,SELL,LIMIT,IOC,6658,0.0341400,0.0346500,FILLED,6086,6658,1756103575369,227.30411999999998
DOGEUSDC,SELL,LIMIT,IOC,6077,0.223300,0.224360,FILLED,6077,6077,1756103575380,1356.9941
BTC,SELL,LIMIT,IOC,0.020,111719.20,112142.80,FILLED,0.020,0.020,1756103575380,2234.384
1000PEPE,SELL,LIMIT,IOC,862020,0.0104709,0.0105357,FILLED,112688,862020,1756103575466,9026.125218
1000SHIB,SELL,LIMIT,IOC,2250,0.012590,0.012673,FILLED,2250,2250,1756103575470,28.3275
FXS,SELL,LIMIT,IOC,382.5,2.718100,2.743053,FILLED,81.8,382.5,1756103575483,1039.67325
AR,SELL,LIMIT,IOC,59.3,6.848,6.914,FILLED,27.3,59.3,1756103575525,406.08639999999997
CYBER,SELL,LIMIT,IOC,2.6,2.038000,2.068000,FILLED,2.6,2.6,1756103575618,5.2988
ONT,BUY,LIMIT,IOC,1630.7,0.2031,0.2003,FILLED,717.9,1630.7,1756103576065,331.19517
SCR,SELL,LIMIT,IOC,447,0.3692000,0.3743782,FILLED,97,447,1756103576079,165.0324
ICP,SELL,LIMIT,IOC,1333,5.127000,5.184594,FILLED,240,1333,1756103576116,6834.290999999999
ETHFI,SELL,LIMIT,IOC,3333.0,1.1965000,1.2087496,FILLED,83.8,3333.0,1756103576116,3987.9345
MAGIC,SELL,LIMIT,IOC,21.9,0.214500,0.216600,FILLED,21.9,21.9,1756103576141,4.69755
DAM,SELL,LIMIT,IOC,178,0.0480500,0.0487700,FILLED,178,178,1756103576392,8.552900000000001
ETH,SELL,LIMIT,IOC,0.828,4646.53,4665.11,FILLED,0.811,0.828,1756103576609,3847.3268399999997
SOON,SELL,LIMIT,IOC,944,0.2376300,0.2395031,FILLED,644,944,1756103577326,224.32272
1000PEPE,SELL,LIMIT,IOC,10000,0.0104694,0.0105420,FILLED,10000,10000,1756103577624,104.694
ONT,BUY,LIMIT,IOC,855.8,0.2033,0.2002,FILLED,855.8,855.8,1756103578146,173.98414
GMT,SELL,LIMIT,IOC,1176,0.04093,0.04134,FILLED,1176,1176,1756103578170,48.13368
BIO,BUY,LIMIT,IOC,4260,0.2426400,0.2402525,FILLED,425,4260,1756103578370,1033.6464
MOVE,SELL,LIMIT,IOC,5500,0.1248000,0.1261000,FILLED,5500,5500,1756103579466,686.4
