Event Time,Symbol,Aggregate Trade ID,Price,Quantity,First Trade ID,Trade Time,Is Buyer Maker,USD Size
2025-08-25 00:35:12,BTCUSDT,2832717103,112490.10,8.461,6582106344,1756100112869,True,951778.74
2025-08-25 00:35:15,BTCUSDT,2832717166,112475.80,8.378,6582106501,1756100115080,False,942322.25
2025-08-25 00:35:25,BTCUSDT,2832717476,112489.00,15.639,6582107247,1756100125583,True,1759215.47
2025-08-25 00:35:29,SOLUSDT,947792626,205.0000,6487.35,2598416407,1756100129528,True,1329906.75
2025-08-25 00:35:33,BTCUSDT,2832717625,112464.80,7.180,6582107516,1756100133177,False,807497.26
2025-08-25 00:35:36,BTCUSDT,2832717832,112489.60,9.022,6582108116,1756100136855,True,1014881.17
2025-08-25 00:35:47,SOLUSDT,947793086,204.9600,2503.06,2598419398,1756100147362,False,513027.18
2025-08-25 00:36:00,ETHUSDT,2408879001,4713.89,107.485,6267706385,1756100160193,False,506672.47
2025-08-25 00:36:00,BTCUSDT,2832718098,112490.40,10.611,6582108664,1756100160140,False,1193635.63
2025-08-25 00:36:09,ETHUSDT,2408879496,4719.23,110.620,6267707467,1756100169065,True,522041.22
2025-08-25 00:36:15,BTCUSDT,2832718364,112540.90,10.261,6582109259,1756100175037,True,1154782.17
2025-08-25 00:37:08,BTCUSDT,2832718695,112500.10,12.351,6582110131,1756100228567,False,1389488.74
2025-08-25 00:37:06,ETHUSDT,2408880710,4720.97,201.552,6267710052,1756100226274,False,951520.95
2025-08-25 00:37:22,ETHUSDT,2408881088,4717.38,106.242,6267710836,1756100242002,True,501183.89
2025-08-25 00:46:29,BTCUSDT,2832723888,112575.60,9.167,6582124099,1756100789065,False,1031980.53
2025-08-25 00:46:35,BTCUSDT,2832723929,112581.70,11.611,6582124255,1756100795661,True,1307186.12
2025-08-25 00:46:44,BTCUSDT,2832724038,112566.00,10.198,6582124530,1756100804875,False,1147948.07
2025-08-25 00:46:56,ETHUSDT,2408892899,4722.43,151.239,6267740207,1756100816446,False,714215.59
2025-08-25 00:47:13,ETHUSDT,2408893471,4723.33,164.084,6267741488,1756100833795,False,775022.88
2025-08-25 00:47:25,BTCUSDT,2832724524,112544.50,11.081,6582125577,1756100845698,False,1247105.60
2025-08-25 13:59:06,BTCUSDT,2833686307,112368.70,12.578,6584319097,1756148346579,False,1413373.51
2025-08-25 14:02:24,ETHUSDT,2410967559,4568.88,121.437,6273182361,1756148544548,False,554831.08
2025-08-25 14:02:29,BTCUSDT,2833688810,112228.60,9.003,6584324428,1756148549579,True,1010394.09
2025-08-25 14:02:35,ETHUSDT,2410967833,4571.12,241.577,6273183072,1756148555517,True,1104277.46
2025-08-25 14:02:35,ETHUSDT,2410968038,4568.87,2312.257,6273183858,1756148555519,True,10564401.64
2025-08-25 14:02:35,ETHUSDT,2410968039,4568.86,287.634,6273183864,1756148555519,True,1314159.48
2025-08-25 14:02:35,ETHUSDT,2410968040,4568.85,135.339,6273183878,1756148555519,True,618343.59
2025-08-25 14:02:35,ETHUSDT,2410968071,4568.85,289.222,6273183961,1756148555583,True,1321411.93
2025-08-25 14:02:35,ETHUSDT,2410968096,4568.85,191.205,6273184108,1756148555774,True,873586.96
2025-08-25 14:02:39,ETHUSDT,2410968131,4568.85,322.979,6273184291,1756148559123,True,1475642.60
2025-08-25 14:02:47,ETHUSDT,2410968203,4568.86,168.273,6273184486,1756148567933,False,768815.78
2025-08-25 14:02:57,ETHUSDT,2410968323,4568.85,172.038,6273185043,1756148577508,True,786015.82
2025-08-25 14:02:57,ETHUSDT,2410968327,4568.85,843.611,6273185062,1756148577856,True,3854332.12
2025-08-25 14:03:00,ETHUSDT,2410968341,4568.86,116.968,6273185145,1756148580067,False,534410.42
2025-08-25 14:03:06,ETHUSDT,2410968466,4568.85,125.397,6273185616,1756148586878,True,572920.08
2025-08-25 14:03:06,ETHUSDT,2410968467,4568.85,691.522,6273185621,1756148586991,True,3159460.29
2025-08-25 14:03:08,ETHUSDT,2410968485,4568.85,1332.980,6273185691,1756148588718,True,6090185.67
2025-08-25 14:03:09,ETHUSDT,2410968494,4568.85,434.313,6273185793,1756148589726,True,1984310.95
2025-08-25 14:03:11,ETHUSDT,2410968505,4568.85,768.199,6273185820,1756148591281,True,3509786.00
2025-08-25 14:03:12,ETHUSDT,2410968514,4568.85,375.208,6273185921,1756148592408,True,1714269.07
2025-08-25 14:03:18,ETHUSDT,2410968595,4568.85,948.661,6273186361,1756148598948,True,4334289.81
2025-08-25 14:03:24,ETHUSDT,2410968657,4568.85,11493.562,6273186685,1756148604958,True,52512360.74
2025-08-25 14:03:25,ETHUSDT,2410968658,4568.85,1540.351,6273186767,1756148605059,True,7037632.67
2025-08-25 14:03:25,ETHUSDT,2410968659,4568.85,1008.553,6273186975,1756148605160,True,4607927.37
2025-08-25 14:03:25,ETHUSDT,2410968660,4568.85,177.972,6273187124,1756148605263,True,813127.37
2025-08-25 14:03:25,ETHUSDT,2410968667,4568.86,172.448,6273187220,1756148605600,False,787890.77
2025-08-25 14:03:25,ETHUSDT,2410968669,4568.86,352.042,6273187275,1756148605602,False,1608430.61
2025-08-25 14:03:25,ETHUSDT,2410968687,4569.04,212.296,6273187675,1756148605746,True,969988.92
2025-08-25 14:03:25,ETHUSDT,2410968699,4568.85,500.222,6273187762,1756148605781,True,2285439.28
2025-08-25 14:03:25,ETHUSDT,2410968707,4568.85,2911.291,6273187797,1756148605895,True,13301251.89
2025-08-25 14:03:25,ETHUSDT,2410968708,4568.85,270.953,6273187846,1756148605996,True,1237943.61
