macd_fast,rsi_threshold,atr_multiplier,Return_%,Sharpe,Max_DD_%,Trades,Win_Rate_%,Profit_Factor
5,65,1.5,-15.332366400000158,-0.13075942036931468,-61.81533102610302,48,20.833333333333336,1.0051377454341897
5,65,2.0,-15.332366400000158,-0.13075942036931468,-61.81533102610302,48,20.833333333333336,1.0051377454341897
5,65,2.5,-15.332366400000158,-0.13075942036931468,-61.81533102610302,48,20.833333333333336,1.0051377454341897
5,70,1.5,-27.38750226000007,-0.23087640781356675,-70.0570272086409,64,23.4375,0.9296132990503603
5,70,2.0,-27.38750226000007,-0.23087640781356675,-70.0570272086409,64,23.4375,0.9296132990503603
5,70,2.5,-27.38750226000007,-0.23087640781356675,-70.0570272086409,64,23.4375,0.9296132990503603
5,75,1.5,-44.48804926000005,-0.4137148233045538,-71.28062942319704,70,21.428571428571427,0.8148023756382379
5,75,2.0,-44.48804926000005,-0.4137148233045538,-71.28062942319704,70,21.428571428571427,0.8148023756382379
5,75,2.5,-44.48804926000005,-0.4137148233045538,-71.28062942319704,70,21.428571428571427,0.8148023756382379
8,65,1.5,26.595420920000016,0.17379711701714082,-58.753062652163514,38,26.31578947368421,1.3977487448429378
8,65,2.0,21.92021493000009,0.14639929027307522,-58.777330858891915,38,26.31578947368421,1.3613881727517325
8,65,2.5,22.99956453000009,0.15273277619932277,-58.777330858891915,38,26.31578947368421,1.3716637283837936
8,70,1.5,7.0101948500001745,0.046676909538085946,-67.62822014919962,52,26.923076923076923,1.1855196743185508
8,70,2.0,5.044220670000097,0.03389318915434244,-67.5756403102007,52,26.923076923076923,1.1689048333150336
8,70,2.5,6.6030276700001265,0.04393890834990084,-67.5756403102007,52,26.923076923076923,1.1759712391867678
8,75,1.5,-21.270924779999856,-0.16036656530383853,-67.25106129635067,58,25.862068965517242,0.9960772799004545
8,75,2.0,-22.060701239999805,-0.16717140917868198,-66.98941526464657,58,25.862068965517242,0.9822261180728966
8,75,2.5,-21.40792463999981,-0.16147439008027864,-66.98941526464657,58,25.862068965517242,0.9881171122297396
12,65,1.5,52.690974569999874,0.3274812602552786,-51.937908907684516,31,35.483870967741936,1.749438257236468
12,65,2.0,47.34091011999993,0.30051869011850835,-51.90027661559742,31,35.483870967741936,1.6922601500321388
12,65,2.5,48.15889131999991,0.3043838111936405,-51.90027661559742,31,35.483870967741936,1.7002884190585923
12,70,1.5,72.26321678999992,0.3643609193795299,-56.241384532109386,44,36.36363636363637,1.6588170863058296
12,70,2.0,62.522120870000094,0.32591617732715894,-56.22699208814351,44,36.36363636363637,1.598886757481417
12,70,2.5,63.27212647000008,0.32869376011289875,-56.22699208814351,44,36.36363636363637,1.604210199157775
12,75,1.5,6.738154879999842,0.04194265825891614,-57.36852929576484,50,32.0,1.1967439950672565
12,75,2.0,1.922786309999836,0.012281146275022236,-57.69267954725497,50,32.0,1.153507605874555
12,75,2.5,2.163470209999825,0.01378761865552707,-57.59277361597337,50,32.0,1.157348172090002
